project_id,project_name,original_contract_value,contract_date,substantial_completion_date,retention_pct,payment_terms,gc_name,architect,engineer_of_record,original_duration_days,project_type,sov_total_scheduled_value,estimated_labor_cost,estimated_material_cost,estimated_equipment_cost,estimated_sub_cost,total_estimated_cost,total_cos,approved_cos,rejected_cos,total_co_value,approved_co_value,rejected_co_value,upstream_design_cos,co_rejection_rate_pct,upstream_design_co_pct,revised_contract_value,builtin_margin_usd,builtin_margin_pct
PRJ-2024-001,Mercy General Hospital - HVAC Modernization,35194000,2024-03-27,2025-09-01,0.1,Net 30,Turner Construction,SmithGroup,Henderson Engineers,523,Large,35194000,17295900,6511900,8654100,2059300,34521200,12,9,3,5487300,4192500,1294800.0,3.0,25.0,25.0,39386500,672800,1.91
PRJ-2024-002,Riverside Office Tower - Core & Shell MEP,30260000,2024-02-03,2026-01-27,0.1,Net 30,DPR Construction,Perkins&Will,ARUP,724,Large,30260000,16050900,7016800,7924900,1855300,32847900,20,14,6,8715300,6338600,2376700.0,9.0,30.0,45.0,36598600,-2587900,-8.55
PRJ-2024-003,Greenfield Elementary School - New Construction,5544000,2024-02-19,2025-04-22,0.1,Net 30,DPR Construction,HOK,Henderson Engineers,428,Medium,5544000,1862900,761900,822100,223800,3670700,8,5,3,694100,321300,372800.0,1.0,37.5,12.5,5865300,1873300,33.79
PRJ-2024-004,Summit Data Center - Phase 2 Expansion,16340000,2024-02-18,2024-11-27,0.1,Net 30,DPR Construction,HOK,Henderson Engineers,283,Medium,16340000,8198900,3407700,3980700,900000,16487300,12,8,4,3958500,2743100,1215400.0,3.0,33.3,25.0,19083100,-147300,-0.9
PRJ-2024-005,Harbor View Condominiums - 3 Buildings,13650000,2024-03-27,2025-11-07,0.1,Net 30,Skanska USA,Gensler,AEI,590,Medium,13650000,7185600,3216300,3090000,927500,14419400,12,9,3,2477500,1570700,906800.0,4.0,25.0,33.3,15220700,-769400,-5.64
PRJ-2018-001,Minneapolis Hospital - Mechanical Systems Renovation,38264000,2018-01-06,2019-04-20,0.1,Net 30,JE Dunn,HOK,ARUP,469,Large,38264000,20300100,9091700,8866000,2777000,41034800,10,8,2,5456000,4293800,1162200.0,4.0,20.0,40.0,42557800,-2770800,-7.24
PRJ-2018-002,Louisville Office Park - Core & Shell MEP,29163000,2018-01-12,2019-07-06,0.1,Net 30,JE Dunn,HKS,WSP,540,Large,29163000,15137600,6142800,6712000,1629700,29622100,13,7,6,4802400,2294000,2508400.0,2.0,46.2,15.4,31457000,-459100,-1.57
PRJ-2018-003,Las Vegas Elementary Campus - Climate Systems,11837000,2018-01-12,2019-06-24,0.1,Net 30,Turner Construction,SmithGroup,ARUP,528,Medium,11837000,6383300,2345600,3167600,834700,12731200,9,6,3,1479600,1084000,395600.0,1.0,33.3,11.1,12921000,-894200,-7.55
PRJ-2018-004,Houston Data Center - Precision Cooling Systems,11221000,2018-03-02,2019-07-07,0.1,Net 30,JE Dunn,Gensler,Syska Hennessy,492,Medium,11221000,5953500,2079200,2771700,728700,11533100,8,5,3,1104300,593600,510700.0,2.0,37.5,25.0,11814600,-312100,-2.78
PRJ-2018-005,Phoenix Senior Living - HVAC Upgrade,7700000,2018-01-03,2018-12-18,0.1,Net 30,Skanska USA,Perkins&Will,Syska Hennessy,349,Medium,7700000,3651300,1631500,1773800,384100,7440700,9,8,1,738900,831000,-92100.0,2.0,11.1,22.2,8531000,259300,3.37
