project_id,sov_line_id,actual_labor_cost,total_hours,total_ot_hours,worker_count,ot_ratio_pct,actual_material_cost,delivery_count,partial_deliveries,partial_shipment_rate_pct,total_actual_cost,estimated_labor_cost,estimated_material_cost,total_budget,cost_variance_usd,cost_variance_pct
PRJ-2018-001,PRJ-2018-001-SOV-01,252021.72999999998,2914.0,156.0,340.0,5.35,0.0,,,,252021.72999999998,1645600.0,1084400.0,2730000.0,2477978.27,90.77
PRJ-2018-001,PRJ-2018-001-SOV-02,106076.10999999999,1190.0,80.0,141.0,6.72,0.0,,,,106076.10999999999,754700.0,366500.0,1121200.0,1015123.89,90.54
PRJ-2018-001,PRJ-2018-001-SOV-03,147383.78999999998,1646.0,122.0,192.0,7.41,1499679.91,7.0,0.0,0.0,1647063.7,2814000.0,1530400.0,4344400.0,2697336.3,62.09
PRJ-2018-001,PRJ-2018-001-SOV-04,126061.51999999999,1508.0,78.0,181.0,5.17,1372076.94,8.0,1.0,12.5,1498138.46,2993300.0,1400200.0,4393500.0,2895361.54,65.9
PRJ-2018-001,PRJ-2018-001-SOV-05,134845.31999999998,1574.0,60.0,191.0,3.81,1500498.47,8.0,1.0,12.5,1635343.79,2232800.0,1531200.0,3764000.0,2128656.21,56.55
PRJ-2018-001,PRJ-2018-001-SOV-06,60271.60999999999,664.0,50.0,79.0,7.53,883476.56,5.0,1.0,20.0,943748.17,1199500.0,901500.0,2101000.0,1157251.83,55.08
PRJ-2018-001,PRJ-2018-001-SOV-07,59865.42999999999,740.0,58.0,86.0,7.84,3545653.3,4.0,1.0,25.0,3605518.73,889100.0,0.0,889100.0,-2716418.73,-305.52
PRJ-2018-001,PRJ-2018-001-SOV-08,61189.39,716.0,52.0,82.0,7.26,2310084.69,7.0,0.0,0.0,2371274.08,810000.0,0.0,810000.0,-1561274.08,-192.75
PRJ-2018-001,PRJ-2018-001-SOV-09,138372.69999999998,1606.0,110.0,183.0,6.85,2832335.08,4.0,1.0,25.0,2970707.7800000003,989900.0,0.0,989900.0,-1980807.7800000003,-200.1
PRJ-2018-001,PRJ-2018-001-SOV-10,76778.93999999999,850.0,54.0,101.0,6.35,1091472.3,5.0,0.0,0.0,1168251.24,1700200.0,1113800.0,2814000.0,1645748.76,58.48
PRJ-2018-001,PRJ-2018-001-SOV-11,97348.09999999999,1156.0,46.0,140.0,3.98,627935.25,5.0,0.0,0.0,725283.35,1070300.0,640800.0,1711100.0,985816.65,57.61
PRJ-2018-001,PRJ-2018-001-SOV-12,81481.04,938.0,66.0,112.0,7.04,578771.5700000001,3.0,1.0,33.33,660252.6100000001,1365100.0,0.0,1365100.0,704847.3899999999,51.63
PRJ-2018-001,PRJ-2018-001-SOV-13,26768.519999999997,312.0,16.0,37.0,5.13,0.0,,,,26768.519999999997,774400.0,0.0,774400.0,747631.48,96.54
PRJ-2018-001,PRJ-2018-001-SOV-14,29579.87,354.0,14.0,44.0,3.95,0.0,,,,29579.87,534700.0,224700.0,759400.0,729820.13,96.1
PRJ-2018-001,PRJ-2018-001-SOV-15,29958.359999999997,354.0,28.0,41.0,7.91,0.0,,,,29958.359999999997,526500.0,298200.0,824700.0,794741.64,96.37
PRJ-2018-001,PRJ-2018-001-SOV-22,0.0,,,,,398850.85,1.0,0.0,0.0,398850.85,,,,,
PRJ-2018-001,PRJ-2018-001-SOV-25,0.0,,,,,245025.93,1.0,0.0,0.0,245025.93,,,,,
PRJ-2018-002,PRJ-2018-002-SOV-01,487383.12999999995,5642.0,300.0,649.0,5.32,0.0,,,,487383.12999999995,1130100.0,482300.0,1612400.0,1125016.87,69.77
PRJ-2018-002,PRJ-2018-002-SOV-02,157451.93,1898.0,76.0,229.0,4.0,0.0,,,,157451.93,429900.0,241100.0,671000.0,513548.07,76.53
PRJ-2018-002,PRJ-2018-002-SOV-03,250685.66999999998,2884.0,168.0,341.0,5.83,1358127.3599999999,5.0,1.0,20.0,1608813.0299999998,1829200.0,1308400.0,3137600.0,1528786.9700000002,48.72
PRJ-2018-002,PRJ-2018-002-SOV-04,250408.46,2942.0,156.0,349.0,5.3,1044064.72,4.0,2.0,50.0,1294473.18,2076500.0,1005800.0,3082300.0,1787826.82,58.0
PRJ-2018-002,PRJ-2018-002-SOV-05,258128.02999999997,3008.0,190.0,352.0,6.32,1063964.8199999998,3.0,0.0,0.0,1322092.8499999999,1793700.0,1025000.0,2818700.0,1496607.1500000001,53.1
PRJ-2018-002,PRJ-2018-002-SOV-06,141908.66999999998,1636.0,84.0,195.0,5.13,667687.46,5.0,1.0,20.0,809596.1299999999,904700.0,643200.0,1547900.0,738303.8700000001,47.7
PRJ-2018-002,PRJ-2018-002-SOV-07,140099.59,1662.0,74.0,201.0,4.45,3173189.68,6.0,0.0,0.0,3313289.27,874200.0,0.0,874200.0,-2439089.27,-279.01
PRJ-2018-002,PRJ-2018-002-SOV-08,139252.61,1602.0,106.0,188.0,6.62,2033194.3199999998,5.0,0.0,0.0,2172446.9299999997,721400.0,0.0,721400.0,-1451046.9299999997,-201.14
PRJ-2018-002,PRJ-2018-002-SOV-09,263598.92,3110.0,158.0,368.0,5.08,1760496.6,8.0,2.0,25.0,2024095.52,513400.0,0.0,513400.0,-1510695.52,-294.25
PRJ-2018-002,PRJ-2018-002-SOV-10,143884.12999999998,1698.0,62.0,206.0,3.65,693650.37,8.0,0.0,0.0,837534.5,1984300.0,668200.0,2652500.0,1814965.5,68.42
PRJ-2018-002,PRJ-2018-002-SOV-11,181669.47999999998,2126.0,126.0,252.0,5.93,392175.8,8.0,0.0,0.0,573845.28,901200.0,377800.0,1279000.0,705154.72,55.13
PRJ-2018-002,PRJ-2018-002-SOV-12,140877.72,1584.0,104.0,188.0,6.57,397355.75,8.0,1.0,12.5,538233.47,827200.0,0.0,827200.0,288966.53,34.93
PRJ-2018-002,PRJ-2018-002-SOV-13,43359.899999999994,534.0,22.0,65.0,4.12,0.0,,,,43359.899999999994,482200.0,0.0,482200.0,438840.1,91.01
