project_id,sov_line_id,line_number,description,application_number,scheduled_value,previous_billed,this_period,total_billed,pct_complete,pct_manually_adjusted,balance_to_finish
PRJ-2018-001,PRJ-2018-001-SOV-01,1,General Conditions & Project Management,12,2477800,2477400,400,2477800,100.0,False,0
PRJ-2018-001,PRJ-2018-001-SOV-02,2,Submittals & Engineering,12,1005200,1005100,100,1005200,100.0,False,0
PRJ-2018-001,PRJ-2018-001-SOV-03,3,Ductwork - Fabrication,14,3817300,3761500,52100,3813600,99.9,False,3700
PRJ-2018-001,PRJ-2018-001-SOV-04,4,Ductwork - Installation,14,5146300,5092700,45100,5137800,99.8,True,8500
PRJ-2018-001,PRJ-2018-001-SOV-05,5,Piping - Hydronic Systems,14,3589000,3535700,48800,3584500,99.9,True,4500
PRJ-2018-001,PRJ-2018-001-SOV-06,6,Piping - Refrigerant,14,2067500,2052600,12400,2065000,99.9,True,2500
PRJ-2018-001,PRJ-2018-001-SOV-07,7,Equipment - RTUs/AHUs,14,4421000,4383200,33400,4416600,99.9,False,4400
PRJ-2018-001,PRJ-2018-001-SOV-08,8,Equipment - Chillers/Boilers,14,3072900,3042000,27400,3069400,99.9,True,3500
PRJ-2018-001,PRJ-2018-001-SOV-09,9,Equipment - Terminal Units (VAV/FCU),14,3641000,3607800,30500,3638300,99.9,True,2700
PRJ-2018-001,PRJ-2018-001-SOV-10,10,Controls - DDC/BAS Installation,14,2605000,2509300,33900,2543200,97.6,True,61800
PRJ-2018-001,PRJ-2018-001-SOV-11,11,Controls - Programming & Commissioning,14,1508200,1451600,20800,1472400,97.6,True,35800
PRJ-2018-001,PRJ-2018-001-SOV-12,12,Insulation,14,2197100,2113100,30100,2143200,97.5,True,53900
PRJ-2018-001,PRJ-2018-001-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",14,1204500,1161200,15700,1176900,97.7,False,27600
PRJ-2018-001,PRJ-2018-001-SOV-14,14,Startup & Commissioning Support,14,799700,776300,6800,783100,97.9,True,16600
PRJ-2018-001,PRJ-2018-001-SOV-15,15,Closeout Documentation & Training,14,711500,686600,8800,695400,97.7,True,16100
PRJ-2018-002,PRJ-2018-002-SOV-01,1,General Conditions & Project Management,15,1798900,1798800,100,1798900,100.0,False,0
PRJ-2018-002,PRJ-2018-002-SOV-02,2,Submittals & Engineering,15,619100,618900,200,619100,100.0,False,0
