project_id,application_number,total_billed_this_app,cumulative_billed,lines_count,retention_held,net_payment_due
PRJ-2018-001,2,4296600,4296600,12,429660.0,3866940.0
PRJ-2018-001,3,5465500,9762100,15,976210.0,8785890.0
PRJ-2018-001,4,3382000,13144100,15,1314410.0,11829690.0
PRJ-2018-001,5,3311700,16455800,15,1645580.0,14810220.0
PRJ-2018-001,6,3137900,19593700,15,1959370.0,17634330.0
PRJ-2018-001,7,3191200,22784900,15,2278490.0,20506410.0
PRJ-2018-001,8,3183500,25968400,15,2596840.0,23371560.0
PRJ-2018-001,9,3108900,29077300,15,2907730.0,26169570.0
PRJ-2018-001,10,2944100,32021400,15,3202140.0,28819260.0
PRJ-2018-001,11,2801800,34823200,15,3482320.0,31340880.0
PRJ-2018-001,12,2833400,37656600,15,3765660.0,33890940.0
PRJ-2018-001,14,365800,34539400,13,3453940.0,31085460.0
PRJ-2018-002,2,2318600,2318600,9,231860.0,2086740.0
PRJ-2018-002,3,2860100,5178700,12,517870.0,4660830.0
PRJ-2018-002,4,2848100,8026800,15,802680.0,7224120.0
PRJ-2018-002,5,1845800,9872600,15,987260.0,8885340.0
PRJ-2018-002,6,1757600,11630200,15,1163020.0,10467180.0
PRJ-2018-002,7,1698500,13328700,15,1332870.0,11995830.0
PRJ-2018-002,8,1740800,15069500,15,1506950.0,13562550.0
PRJ-2018-002,9,1745100,16814600,15,1681460.0,15133140.0
PRJ-2018-002,10,1765600,18580200,15,1858020.0,16722180.0
PRJ-2018-002,11,1765200,20345400,15,2034540.0,18310860.0
PRJ-2018-002,12,1735100,22080500,15,2208050.0,19872450.0
PRJ-2018-002,13,1591100,23671600,15,2367160.0,21304440.0
PRJ-2018-002,14,1602800,25274400,15,2527440.0,22746960.0
PRJ-2018-002,15,1557100,26831500,15,2683150.0,24148350.0
PRJ-2018-002,16,1554200,25967700,13,2596770.0,23370930.0
PRJ-2018-002,18,80900,25027700,11,2502770.0,22524930.0
PRJ-2018-002,19,478400,26527000,13,2652700.0,23874300.0
PRJ-2018-003,2,1075500,1075500,9,107550.0,967950.0
PRJ-2018-003,3,1432000,2507500,12,250750.0,2256750.0
PRJ-2018-003,4,1061500,3569000,15,356900.0,3212100.0
PRJ-2018-003,5,796300,4365300,15,436530.0,3928770.0
PRJ-2018-003,6,815000,5180300,15,518030.0,4662270.0
PRJ-2018-003,7,805100,5985400,15,598540.0,5386860.0
PRJ-2018-003,8,801700,6787100,15,678710.0,6108390.0
PRJ-2018-003,9,789500,7576600,15,757660.0,6818940.0
PRJ-2018-003,10,802800,8379400,15,837940.0,7541460.0
PRJ-2018-003,11,779300,9158700,15,915870.0,8242830.0
PRJ-2018-003,12,717700,9876400,15,987640.0,8888760.0
PRJ-2018-003,13,709500,10358300,14,1035830.0,9322470.0
PRJ-2018-003,14,708600,10220500,13,1022050.0,9198450.0
PRJ-2018-003,15,23200,6892000,9,689200.0,6202800.0
PRJ-2018-003,16,211200,10454900,13,1045490.0,9409410.0
PRJ-2018-003,17,236600,10691500,13,1069150.0,9622350.0
PRJ-2018-004,2,991200,991200,9,99120.0,892080.0
PRJ-2018-004,3,1183000,2174200,12,217420.0,1956780.0
PRJ-2018-004,4,1078700,3252900,15,325290.0,2927610.0
PRJ-2018-004,5,730400,3983300,15,398330.0,3584970.0
PRJ-2018-004,6,723900,4707200,15,470720.0,4236480.0
PRJ-2018-004,7,715500,5422700,15,542270.0,4880430.0
PRJ-2018-004,8,690300,6113000,15,611300.0,5501700.0
PRJ-2018-004,9,725300,6838300,15,683830.0,6154470.0
PRJ-2018-004,10,719300,7557600,15,755760.0,6801840.0
PRJ-2018-004,11,713700,8271300,15,827130.0,7444170.0
PRJ-2018-004,12,684200,8955500,15,895550.0,8059950.0
PRJ-2018-004,13,621200,9576700,15,957670.0,8619030.0
PRJ-2018-004,14,613400,10190100,15,1019010.0,9171090.0
PRJ-2018-004,15,661200,9659700,13,965970.0,8693730.0
PRJ-2018-004,17,96700,9756400,13,975640.0,8780760.0
PRJ-2018-004,18,195200,9951600,13,995160.0,8956440.0
PRJ-2018-005,2,1204500,1204500,12,120450.0,1084050.0
PRJ-2018-005,3,1223400,2427900,15,242790.0,2185110.0
PRJ-2018-005,4,831700,3259600,15,325960.0,2933640.0
PRJ-2018-005,5,841100,4100700,15,410070.0,3690630.0
PRJ-2018-005,6,831700,4932400,15,493240.0,4439160.0
PRJ-2018-005,7,852800,5785200,15,578520.0,5206680.0
PRJ-2018-005,8,729800,6515000,15,651500.0,5863500.0
PRJ-2018-005,9,719000,7234000,15,723400.0,6510600.0
PRJ-2018-005,10,178700,6810600,14,681060.0,6129540.0
PRJ-2018-005,11,226900,6823600,13,682360.0,6141240.0
PRJ-2018-006,2,804700,804700,9,80470.0,724230.0
PRJ-2018-006,3,1010800,1815500,12,181550.0,1633950.0
PRJ-2018-006,4,975800,2791300,15,279130.0,2512170.0
PRJ-2018-006,5,621900,3413200,15,341320.0,3071880.0
