project_id,sov_line_id,bac,pct_complete,pct_manually_adjusted,total_actual_cost,actual_labor_cost,actual_material_cost,ot_ratio_pct,cost_variance_usd,earned_value,cpi,eac,vac,cpi_status
PRJ-2024-001,PRJ-2024-001-SOV-01,2064200,100.0,False,461854.65,461854.65,0.0,4.94,1531845.35,2064200.0,4.469371478667585,461854.65,1602345.35,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-02,740800,100.0,False,186679.94,186679.94,0.0,5.97,457320.06000000006,740800.0,3.9682892548604847,186679.94,554120.06,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-03,3024300,99.8,True,1231753.19,267633.13,964120.06,6.02,1527446.81,3018251.4,2.4503702726355434,1234221.633266533,1790078.366733467,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-04,4202000,99.9,True,1352739.8,265724.05,1087015.75,4.63,2158960.2,4197798.0,3.103182149294343,1354093.8938938938,2847906.106106106,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-05,3469400,99.8,True,1233641.02,279676.64,953964.38,5.53,1851758.98,3462461.2,2.806700769402107,1236113.246492986,2233286.753507014,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-06,2082000,99.7,False,677307.18,123994.77999999998,553312.4,5.33,1342592.8199999998,2075754.0,3.064715776377861,679345.2156469409,1402654.7843530593,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-07,5488800,99.7,True,4501356.06,141624.34,4359731.72,5.26,-3468656.06,5472333.6,1.215707783845031,4514900.7622868605,973899.2377131395,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-08,3561600,99.9,False,2844844.0600000005,158524.15999999997,2686319.9000000004,7.24,-1867844.0600000003,3558038.4000000004,1.2506971647507454,2847691.751751752,713908.2482482479,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-09,2640400,99.8,True,2170604.42,294776.41,1875828.01,7.22,-1712604.42,2635119.2,1.2140025035054522,2174954.3286573146,465445.67134268535,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-10,2408700,97.6,True,1106954.03,132361.09,974592.94,4.26,1432345.97,2350891.1999999997,2.1237478127253393,1134174.2110655739,1274525.7889344261,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-11,1604700,97.5,True,851205.1000000001,175524.41999999998,675680.68,5.18,966994.9,1564582.5,1.8380793301167955,873030.8717948719,731669.1282051281,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-12,1868500,97.4,True,756679.2,147501.02,609178.1799999999,4.56,554220.8,1819919.0000000002,2.4051394567208937,776878.0287474331,1091621.971252567,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-13,785400,97.8,True,41757.66,41757.66,0.0,3.25,446242.34,768121.2,18.394737636160645,42696.99386503068,742703.0061349693,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-14,820400,97.6,False,36934.06,36934.06,0.0,8.37,681965.94,800710.4,21.679457931242872,37842.274590163935,782557.725409836,Efficient
PRJ-2024-001,PRJ-2024-001-SOV-15,432800,97.7,True,40639.9,40639.9,0.0,3.17,410260.1,422845.6,10.404690956424597,41596.62231320369,391203.3776867963,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-01,2017400,100.0,False,655664.4199999999,655664.4199999999,0.0,6.22,1730235.58,2017400.0,3.076878870444122,655664.4199999999,1361735.58,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-02,1003300,100.0,False,204407.48,204407.48,0.0,4.74,805892.52,1003300.0,4.9083331001389965,204407.48,798892.52,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-03,2939700,99.9,True,1509008.69,337999.44,1171009.25,4.65,1409991.31,2936760.3000000003,1.94615201321339,1510519.209209209,1429180.790790791,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-04,3517700,99.8,False,1799229.52,352591.27,1446638.25,4.69,1977970.48,3510664.6,1.9512044244360776,1802835.1903807616,1714864.8096192384,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-05,2695500,99.9,True,1281327.09,339606.12999999995,941720.96,6.84,1632472.91,2692804.5000000005,2.101574626038696,1282609.6996996996,1412890.3003003004,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-06,1984300,99.9,True,1004252.28,196579.74,807672.54,6.38,1173047.72,1982315.7000000002,1.9739220308267562,1005257.5375375374,979042.4624624626,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-07,4539000,99.8,False,3753493.46,193234.4,3560259.06,7.04,-2492693.46,4529922.0,1.206854906841905,3761015.490981964,777984.5090180361,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-08,2827000,99.7,True,2517570.29,171721.3,2345848.99,5.31,-1694470.29,2818519.0,1.1195393475985134,2525145.7271815445,301854.2728184555,On Track
PRJ-2024-002,PRJ-2024-002-SOV-09,2461900,99.8,True,2222854.44,359255.55,1863598.89,5.88,-1600254.44,2456976.2,1.1053248272972838,2227309.0581162325,234590.9418837675,On Track
PRJ-2024-002,PRJ-2024-002-SOV-10,1809200,97.5,True,682807.0,179953.05,502853.95000000007,5.39,1060093.0,1763970.0,2.5834093675079486,700314.8717948718,1108885.1282051282,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-11,1136500,97.7,True,711356.1799999999,234834.47,476521.71,4.97,417343.82000000007,1110360.5,1.5609065208374238,728102.5383828045,408397.4616171955,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-12,1655300,97.6,True,663208.14,197353.75,465854.39,4.35,273591.86,1615572.8,2.4359966390038577,679516.5368852459,975783.4631147541,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-13,618500,97.8,True,53595.89,53595.89,0.0,4.26,338804.11,604893.0,11.286182578552198,54801.52351738241,563698.4764826176,Efficient
PRJ-2024-002,PRJ-2024-002-SOV-14,592300,97.9,False,50280.72,50280.72,0.0,4.08,499619.28,579861.7000000001,11.532486010542412,51359.26455566905,540940.735444331,Efficient
