project_id,sov_line_id,line_number,sov_description,scheduled_value,total_billed,pct_complete,balance_to_finish,application_number,period_end,completion_stage,overbilled_flag
PRJ-2022-339,PRJ-2022-339-SOV-14,14,Startup & Commissioning Support,356400,348200,97.7,8200.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-15,15,Closeout Documentation & Training,359300,351300,97.8,8000.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",787900,769800,97.7,18100.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-12,12,Insulation,1005600,980900,97.5,24700.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",1123100,1098400,97.8,24700.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-14,14,Startup & Commissioning Support,842700,823400,97.7,19300.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-15,15,Closeout Documentation & Training,529300,517900,97.8,11400.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-11,11,Controls - Programming & Commissioning,673000,656300,97.5,16700.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-10,10,Controls - DDC/BAS Installation,1516500,1479600,97.6,36900.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1872900,1870800,99.9,2100.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-08,8,Equipment - Chillers/Boilers,2404900,2402800,99.9,2100.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-07,7,Equipment - RTUs/AHUs,3179800,3175400,99.9,4400.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-06,6,Piping - Refrigerant,1252200,1249500,99.8,2700.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-05,5,Piping - Hydronic Systems,1971900,1968000,99.8,3900.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-04,4,Ductwork - Installation,2726300,2722200,99.8,4100.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-03,3,Ductwork - Fabrication,2171000,2169600,99.9,1400.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-05,5,Piping - Hydronic Systems,1817300,1813600,99.8,3700.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2021-320,PRJ-2021-320-SOV-14,14,Startup & Commissioning Support,488600,478400,97.9,10200.0,29,2023-06-08,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-04,4,Ductwork - Installation,3004000,3000900,99.9,3100.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-14,14,Startup & Commissioning Support,117200,114600,97.8,2600.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-03,3,Ductwork - Fabrication,910300,908700,99.8,1600.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-04,4,Ductwork - Installation,2363700,2362300,99.9,1400.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-03,3,Ductwork - Fabrication,2497800,2493900,99.8,3900.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-03,3,Ductwork - Fabrication,3287900,3280200,99.8,7700.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-04,4,Ductwork - Installation,3894200,3892000,99.9,2200.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-05,5,Piping - Hydronic Systems,2667900,2663700,99.8,4200.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-06,6,Piping - Refrigerant,2127300,2125300,99.9,2000.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-08,8,Equipment - Chillers/Boilers,4130900,4124000,99.8,6900.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-09,9,Equipment - Terminal Units (VAV/FCU),2147900,2145200,99.9,2700.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-10,10,Controls - DDC/BAS Installation,2134100,2082200,97.6,51900.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-11,11,Controls - Programming & Commissioning,945800,923100,97.6,22700.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-12,12,Insulation,1709800,1670000,97.7,39800.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-07,7,Equipment - RTUs/AHUs,1413900,1412600,99.9,1300.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-06,6,Piping - Refrigerant,475900,475400,99.9,500.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-05,5,Piping - Hydronic Systems,893800,892900,99.9,900.0,29,2023-07-16,Near complete (75–99%),False
